Line #,State abbreviation,State name,Congressional district, Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , Less than 9th grade Estimate , Less than 9th grade Margin of error (MOE) , Less than 9th grade Percent of total , Less than 9th grade Percent of total margin of error (MOE) ," 9th to 12 Grade, no diploma Estimate "," 9th to 12 Grade, no diploma Margin of error (MOE) "," 9th to 12 Grade, no diploma Percent of total "," 9th to 12 Grade, no diploma Percent of total margin of error (MOE) ", High school graduate Estimate , High school graduate Margin of error (MOE) , High school graduate Percent of total , High school graduate Percent of total margin of error (MOE) ," Some college, no degree Estimate "," Some college, no degree Margin of error (MOE) "," Some college, no degree Percent of total "," Some college, no degree Percent of total margin of error (MOE) ", Associate's degree Estimate , Associate's degree Margin of error (MOE) , Associate's degree Percent of total , Associate's degree Percent of total margin of error (MOE) , Bachelor's degree Estimate , Bachelor's degree Margin of error (MOE) , Bachelor's degree Percent of total , Bachelor's degree Percent of total margin of error (MOE) , Graduate degree Estimate , Graduate degree Margin of error (MOE) , Graduate degree Percent of total , Graduate degree Percent of total margin of error (MOE) , High school or more Estimate , High school or more Margin of error (MOE) , High school or more Percent of total , High school or more Percent of total margin of error (MOE) , Bachelor's degree or more Estimate , Bachelor's degree or more Margin of error (MOE) , Bachelor's degree or more Percent of total , Bachelor's degree or more Percent of total margin of error (MOE) ,
48,CA,California,27," 471,963 "," 11,108 "," 29,513 "," 2,893 ", 6.3 , 0.6 ," 23,456 "," 2,631 ", 5.0 , 0.5 ," 82,256 "," 5,170 ", 17.4 , 1.1 ," 100,069 "," 5,385 ", 21.2 , 0.9 ," 39,294 "," 3,212 ", 8.3 , 0.7 ," 122,862 "," 6,230 ", 26.0 , 1.2 ," 74,513 "," 4,472 ", 15.8 , 0.9 ," 418,994 "," 10,088 ", 88.8 , 0.7 ," 197,375 "," 6,849 ", 41.8 , 1.2 ,
49,CA,California,28," 502,971 "," 13,353 "," 18,412 "," 2,529 ", 3.7 , 0.5 ," 17,960 "," 2,255 ", 3.6 , 0.4 ," 82,496 "," 5,890 ", 16.4 , 1.0 ," 106,049 "," 6,464 ", 21.1 , 1.1 ," 46,643 "," 4,973 ", 9.3 , 1.0 ," 155,739 "," 6,117 ", 31.0 , 1.1 ," 75,672 "," 5,083 ", 15.0 , 0.9 ," 466,599 "," 12,641 ", 92.8 , 0.6 ," 231,411 "," 8,081 ", 46.0 , 1.4 ,
50,CA,California,29," 402,898 "," 11,545 "," 36,869 "," 3,268 ", 9.2 , 0.8 ," 38,058 "," 2,867 ", 9.4 , 0.7 ," 101,848 "," 5,918 ", 25.3 , 1.2 ," 105,890 "," 6,112 ", 26.3 , 1.2 ," 30,540 "," 2,546 ", 7.6 , 0.7 ," 69,161 "," 4,759 ", 17.2 , 1.0 ," 20,532 "," 2,258 ", 5.1 , 0.6 ," 327,971 "," 10,181 ", 81.4 , 1.0 ," 89,693 "," 5,186 ", 22.3 , 1.1 ,
51,CA,California,30," 529,846 "," 14,610 "," 19,105 "," 2,787 ", 3.6 , 0.5 ," 23,003 "," 2,414 ", 4.3 , 0.4 ," 87,198 "," 5,800 ", 16.5 , 0.9 ," 127,319 "," 7,209 ", 24.0 , 1.1 ," 40,343 "," 3,417 ", 7.6 , 0.6 ," 155,101 "," 6,823 ", 29.3 , 1.2 ," 77,777 "," 4,162 ", 14.7 , 0.8 ," 487,738 "," 13,946 ", 92.1 , 0.7 ," 232,878 "," 7,762 ", 44.0 , 1.3 ,
52,CA,California,31," 482,081 "," 9,659 "," 18,582 "," 2,266 ", 3.9 , 0.5 ," 45,590 "," 3,761 ", 9.5 , 0.8 ," 133,160 "," 7,060 ", 27.6 , 1.3 ," 128,296 "," 5,563 ", 26.6 , 1.1 ," 41,316 "," 3,619 ", 8.6 , 0.7 ," 72,149 "," 5,270 ", 15.0 , 1.0 ," 42,988 "," 4,523 ", 8.9 , 0.9 ," 417,909 "," 10,479 ", 86.7 , 1.0 ," 115,137 "," 8,077 ", 23.9 , 1.5 ,
53,CA,California,32," 449,452 "," 11,398 "," 34,351 "," 3,439 ", 7.6 , 0.7 ," 34,156 "," 3,004 ", 7.6 , 0.7 ," 124,345 "," 6,002 ", 27.7 , 1.2 ," 121,048 "," 5,858 ", 26.9 , 1.1 ," 36,250 "," 2,927 ", 8.1 , 0.6 ," 71,065 "," 4,711 ", 15.8 , 1.0 ," 28,237 "," 2,093 ", 6.3 , 0.5 ," 380,945 "," 9,914 ", 84.8 , 0.9 ," 99,302 "," 5,576 ", 22.1 , 1.2 ,
54,CA,California,33," 517,251 "," 10,427 "," 5,748 "," 1,313 ", 1.1 , 0.3 ," 12,703 "," 2,873 ", 2.5 , 0.5 ," 55,109 "," 4,340 ", 10.7 , 0.8 ," 98,470 "," 5,610 ", 19.0 , 1.0 ," 29,721 "," 3,746 ", 5.7 , 0.7 ," 183,848 "," 7,820 ", 35.5 , 1.3 ," 131,652 "," 6,003 ", 25.5 , 1.2 ," 498,800 "," 10,236 ", 96.4 , 0.6 ," 315,500 "," 8,554 ", 61.0 , 1.3 ,
55,CA,California,34," 425,520 "," 11,922 "," 43,810 "," 4,007 ", 10.3 , 0.9 ," 37,570 "," 2,984 ", 8.8 , 0.6 ," 89,614 "," 5,580 ", 21.1 , 1.1 ," 94,176 "," 5,098 ", 22.1 , 1.0 ," 24,198 "," 2,563 ", 5.7 , 0.6 ," 96,927 "," 5,909 ", 22.8 , 1.2 ," 39,225 "," 3,334 ", 9.2 , 0.8 ," 344,140 "," 11,012 ", 80.9 , 1.1 ," 136,152 "," 7,031 ", 32.0 , 1.4 ,
56,CA,California,35," 450,565 "," 12,666 "," 32,600 "," 3,789 ", 7.2 , 0.8 ," 46,007 "," 3,974 ", 10.2 , 0.8 ," 126,690 "," 6,904 ", 28.1 , 1.3 ," 128,310 "," 6,833 ", 28.5 , 1.2 ," 36,590 "," 3,034 ", 8.1 , 0.7 ," 60,612 "," 4,791 ", 13.5 , 1.0 ," 19,756 "," 2,328 ", 4.4 , 0.5 ," 371,958 "," 10,984 ", 82.6 , 1.1 ," 80,368 "," 5,002 ", 17.8 , 1.0 ,
57,CA,California,36," 536,333 "," 9,648 "," 22,723 "," 3,035 ", 4.2 , 0.6 ," 39,828 "," 3,393 ", 7.4 , 0.6 ," 183,900 "," 8,637 ", 34.3 , 1.5 ," 134,038 "," 5,417 ", 25.0 , 1.0 ," 42,824 "," 3,987 ", 8.0 , 0.7 ," 68,798 "," 4,346 ", 12.8 , 0.7 ," 44,222 "," 3,738 ", 8.2 , 0.7 ," 473,782 "," 9,739 ", 88.3 , 0.8 ," 113,020 "," 6,723 ", 21.1 , 1.1 ,
58,CA,California,37," 468,463 "," 13,452 "," 25,297 "," 2,779 ", 5.4 , 0.6 ," 30,477 "," 2,997 ", 6.5 , 0.6 ," 78,851 "," 5,462 ", 16.8 , 1.0 ," 110,517 "," 6,905 ", 23.6 , 1.2 ," 28,063 "," 3,152 ", 6.0 , 0.7 ," 125,134 "," 6,692 ", 26.7 , 1.2 ," 70,124 "," 3,951 ", 15.0 , 0.8 ," 412,689 "," 12,295 ", 88.1 , 0.8 ," 195,258 "," 7,649 ", 41.7 , 1.2 ,
59,CA,California,38," 481,296 "," 10,991 "," 30,376 "," 2,812 ", 6.3 , 0.5 ," 35,106 "," 3,062 ", 7.3 , 0.6 ," 136,716 "," 7,229 ", 28.4 , 1.3 ," 126,053 "," 5,748 ", 26.2 , 1.0 ," 39,276 "," 2,762 ", 8.2 , 0.6 ," 81,103 "," 4,869 ", 16.9 , 1.0 ," 32,666 "," 2,462 ", 6.8 , 0.5 ," 415,814 "," 9,570 ", 86.4 , 0.8 ," 113,769 "," 5,787 ", 23.6 , 1.1 ,
60,CA,California,39," 486,713 "," 10,190 "," 13,837 "," 1,826 ", 2.8 , 0.4 ," 22,452 "," 2,570 ", 4.6 , 0.5 ," 91,136 "," 5,997 ", 18.7 , 1.1 ," 121,947 "," 6,232 ", 25.1 , 1.2 ," 44,311 "," 4,146 ", 9.1 , 0.8 ," 135,432 "," 6,079 ", 27.8 , 1.2 ," 57,598 "," 3,449 ", 11.8 , 0.7 ," 450,424 "," 9,419 ", 92.5 , 0.6 ," 193,030 "," 7,169 ", 39.7 , 1.4 ,
61,CA,California,40," 340,435 "," 9,624 "," 43,948 "," 3,522 ", 12.9 , 1.0 ," 40,368 "," 3,291 ", 11.9 , 1.0 ," 98,979 "," 5,418 ", 29.1 , 1.3 ," 90,081 "," 5,572 ", 26.5 , 1.4 ," 22,031 "," 2,133 ", 6.5 , 0.6 ," 33,112 "," 3,005 ", 9.7 , 0.8 ," 11,916 "," 1,691 ", 3.5 , 0.5 ," 256,119 "," 9,383 ", 75.2 , 1.4 ," 45,028 "," 3,621 ", 13.2 , 0.9 ,
62,CA,California,41," 478,613 "," 8,532 "," 29,445 "," 3,316 ", 6.2 , 0.7 ," 43,330 "," 4,594 ", 9.1 , 1.0 ," 152,838 "," 6,125 ", 31.9 , 1.2 ," 138,115 "," 7,129 ", 28.9 , 1.3 ," 34,599 "," 3,353 ", 7.2 , 0.7 ," 52,557 "," 4,054 ", 11.0 , 0.8 ," 27,729 "," 3,216 ", 5.8 , 0.7 ," 405,838 "," 10,068 ", 84.8 , 1.2 ," 80,286 "," 5,230 ", 16.8 , 1.0 ,
63,CA,California,42," 538,265 "," 9,226 "," 17,647 "," 2,836 ", 3.3 , 0.5 ," 30,484 "," 3,390 ", 5.7 , 0.6 ," 151,598 "," 7,169 ", 28.2 , 1.3 ," 155,168 "," 7,082 ", 28.8 , 1.2 ," 50,397 "," 3,680 ", 9.4 , 0.7 ," 89,357 "," 5,373 ", 16.6 , 0.9 ," 43,614 "," 3,202 ", 8.1 , 0.6 ," 490,134 "," 9,670 ", 91.1 , 0.8 ," 132,971 "," 5,852 ", 24.7 , 1.0 ,
64,CA,California,43," 454,185 "," 11,440 "," 24,838 "," 2,649 ", 5.5 , 0.6 ," 37,427 "," 3,351 ", 8.2 , 0.8 ," 101,686 "," 5,680 ", 22.4 , 1.0 ," 122,622 "," 6,870 ", 27.0 , 1.3 ," 37,325 "," 3,891 ", 8.2 , 0.8 ," 91,995 "," 5,798 ", 20.3 , 1.2 ," 38,292 "," 3,278 ", 8.4 , 0.7 ," 391,920 "," 12,131 ", 86.3 , 1.0 ," 130,287 "," 6,545 ", 28.7 , 1.3 ,
65,CA,California,44," 395,819 "," 8,661 "," 36,450 "," 2,834 ", 9.2 , 0.7 ," 48,320 "," 3,589 ", 12.2 , 0.9 ," 118,351 "," 6,164 ", 29.9 , 1.2 ," 112,113 "," 5,460 ", 28.3 , 1.3 ," 24,915 "," 2,447 ", 6.3 , 0.6 ," 39,798 "," 3,580 ", 10.1 , 0.9 ," 15,872 "," 2,227 ", 4.0 , 0.6 ," 311,049 "," 8,329 ", 78.6 , 1.1 ," 55,670 "," 3,838 ", 14.1 , 1.0 ,
66,CA,California,45," 532,802 "," 12,285 "," 8,523 "," 1,576 ", 1.6 , 0.3 ," 17,150 "," 2,726 ", 3.2 , 0.5 ," 68,372 "," 5,040 ", 12.8 , 0.8 ," 118,194 "," 7,171 ", 22.2 , 1.1 ," 44,550 "," 3,813 ", 8.4 , 0.7 ," 172,817 "," 6,598 ", 32.4 , 1.3 ," 103,196 "," 6,472 ", 19.4 , 1.1 ," 507,129 "," 12,931 ", 95.2 , 0.7 ," 276,013 "," 9,071 ", 51.8 , 1.5 ,
67,CA,California,46," 408,633 "," 10,145 "," 35,485 "," 3,640 ", 8.7 , 0.8 ," 36,525 "," 3,606 ", 8.9 , 0.9 ," 106,524 "," 5,796 ", 26.1 , 1.2 ," 113,914 "," 5,617 ", 27.9 , 1.2 ," 28,646 "," 2,969 ", 7.0 , 0.7 ," 65,341 "," 5,179 ", 16.0 , 1.2 ," 22,198 "," 2,516 ", 5.4 , 0.6 ," 336,623 "," 9,429 ", 82.4 , 1.2 ," 87,539 "," 6,019 ", 21.4 , 1.3 ,
68,CA,California,47," 491,712 "," 10,923 "," 30,115 "," 3,184 ", 6.1 , 0.6 ," 29,772 "," 3,505 ", 6.1 , 0.7 ," 91,523 "," 6,506 ", 18.6 , 1.2 ," 140,344 "," 6,377 ", 28.5 , 1.3 ," 41,173 "," 3,851 ", 8.4 , 0.8 ," 108,005 "," 6,181 ", 22.0 , 1.2 ," 50,780 "," 3,421 ", 10.3 , 0.7 ," 431,825 "," 10,509 ", 87.8 , 0.9 ," 158,785 "," 6,896 ", 32.3 , 1.2 ,
69,CA,California,48," 529,832 "," 8,764 "," 19,342 "," 3,015 ", 3.7 , 0.6 ," 22,208 "," 2,557 ", 4.2 , 0.5 ," 86,247 "," 4,646 ", 16.3 , 0.8 ," 120,132 "," 4,675 ", 22.7 , 0.8 ," 41,982 "," 3,215 ", 7.9 , 0.6 ," 153,100 "," 6,423 ", 28.9 , 1.0 ," 86,821 "," 4,096 ", 16.4 , 0.8 ," 488,282 "," 9,351 ", 92.2 , 0.7 ," 239,921 "," 6,829 ", 45.3 , 1.0 ,
70,CA,California,49," 519,302 "," 10,212 "," 12,881 "," 3,008 ", 2.5 , 0.6 ," 20,673 "," 2,853 ", 4.0 , 0.6 ," 96,500 "," 5,503 ", 18.6 , 1.0 ," 127,415 "," 7,035 ", 24.5 , 1.2 ," 44,026 "," 3,629 ", 8.5 , 0.7 ," 133,953 "," 6,051 ", 25.8 , 1.0 ," 83,854 "," 5,972 ", 16.1 , 1.1 ," 485,748 "," 11,070 ", 93.5 , 0.8 ," 217,807 "," 8,524 ", 41.9 , 1.3 ,
71,CA,California,50," 513,522 "," 11,367 "," 16,294 "," 2,589 ", 3.2 , 0.5 ," 27,775 "," 2,869 ", 5.4 , 0.5 ," 124,514 "," 6,551 ", 24.2 , 1.1 ," 156,195 "," 6,809 ", 30.4 , 1.2 ," 47,178 "," 3,340 ", 9.2 , 0.7 ," 91,516 "," 5,104 ", 17.8 , 0.9 ," 50,050 "," 4,051 ", 9.7 , 0.8 ," 469,453 "," 10,403 ", 91.4 , 0.7 ," 141,566 "," 6,708 ", 27.6 , 1.2 ,
72,CA,California,51," 445,034 "," 11,226 "," 38,878 "," 4,348 ", 8.7 , 1.0 ," 50,724 "," 4,509 ", 11.4 , 1.0 ," 123,014 "," 6,104 ", 27.6 , 1.2 ," 129,769 "," 6,129 ", 29.2 , 1.3 ," 31,732 "," 3,330 ", 7.1 , 0.7 ," 51,404 "," 5,137 ", 11.6 , 1.0 ," 19,513 "," 3,017 ", 4.4 , 0.6 ," 355,432 "," 11,612 ", 79.9 , 1.3 ," 70,917 "," 6,310 ", 15.9 , 1.2 ,
73,CA,California,52," 546,843 "," 12,471 "," 10,373 "," 1,993 ", 1.9 , 0.4 ," 13,673 "," 1,899 ", 2.5 , 0.3 ," 73,004 "," 5,859 ", 13.4 , 1.0 ," 112,056 "," 7,680 ", 20.5 , 1.2 ," 38,826 "," 3,387 ", 7.1 , 0.6 ," 171,061 "," 7,352 ", 31.3 , 1.1 ," 127,850 "," 5,737 ", 23.4 , 1.1 ," 522,797 "," 12,116 ", 95.6 , 0.5 ," 298,911 "," 8,823 ", 54.7 , 1.4 ,
74,CA,California,53," 563,962 "," 15,636 "," 14,869 "," 2,252 ", 2.6 , 0.4 ," 25,197 "," 2,822 ", 4.5 , 0.5 ," 110,391 "," 8,542 ", 19.6 , 1.3 ," 158,624 "," 8,111 ", 28.1 , 1.2 ," 51,232 "," 3,870 ", 9.1 , 0.7 ," 135,825 "," 7,990 ", 24.1 , 1.3 ," 67,824 "," 4,814 ", 12.0 , 0.8 ," 523,896 "," 15,054 ", 92.9 , 0.6 ," 203,649 "," 9,340 ", 36.1 , 1.4 ,
75,CO,Colorado,1," 619,349 "," 5,507 "," 13,793 "," 2,340 ", 2.2 , 0.4 ," 32,499 "," 4,057 ", 5.2 , 0.6 ," 104,087 "," 5,366 ", 16.8 , 0.8 ," 119,160 "," 6,707 ", 19.2 , 1.1 ," 35,245 "," 3,383 ", 5.7 , 0.5 ," 196,881 "," 5,572 ", 31.8 , 0.9 ," 117,684 "," 6,602 ", 19.0 , 1.1 ," 573,057 "," 6,371 ", 92.5 , 0.7 ," 314,565 "," 6,157 ", 50.8 , 1.0 ,
76,CO,Colorado,2," 619,285 "," 6,451 "," 4,237 "," 1,519 ", 0.7 , 0.2 ," 15,601 "," 2,585 ", 2.5 , 0.4 ," 97,110 "," 5,380 ", 15.7 , 0.8 ," 143,708 "," 6,550 ", 23.2 , 1.0 ," 44,309 "," 3,548 ", 7.2 , 0.6 ," 191,323 "," 6,166 ", 30.9 , 1.0 ," 122,997 "," 5,808 ", 19.9 , 0.9 ," 599,447 "," 6,989 ", 96.8 , 0.5 ," 314,320 "," 7,436 ", 50.8 , 1.2 ,
77,CO,Colorado,3," 565,901 "," 5,796 "," 12,223 "," 1,936 ", 2.2 , 0.3 ," 37,687 "," 3,242 ", 6.7 , 0.6 ," 158,596 "," 6,277 ", 28.0 , 1.1 ," 141,449 "," 5,879 ", 25.0 , 1.0 ," 46,311 "," 3,841 ", 8.2 , 0.7 ," 113,999 "," 5,786 ", 20.1 , 1.0 ," 55,636 "," 3,710 ", 9.8 , 0.6 ," 515,991 "," 6,199 ", 91.2 , 0.6 ," 169,635 "," 7,507 ", 30.0 , 1.3 ,
78,CO,Colorado,4," 598,599 "," 5,986 "," 13,104 "," 1,862 ", 2.2 , 0.3 ," 32,566 "," 2,944 ", 5.4 , 0.5 ," 146,395 "," 5,206 ", 24.5 , 0.8 ," 148,746 "," 5,569 ", 24.8 , 0.9 ," 55,953 "," 3,380 ", 9.3 , 0.6 ," 139,737 "," 5,728 ", 23.3 , 0.9 ," 62,098 "," 3,414 ", 10.4 , 0.6 ," 552,929 "," 7,224 ", 92.4 , 0.6 ," 201,835 "," 6,514 ", 33.7 , 1.0 ,
79,CO,Colorado,5," 603,967 "," 3,639 "," 9,193 "," 1,673 ", 1.5 , 0.3 ," 29,318 "," 2,915 ", 4.9 , 0.5 ," 135,266 "," 5,366 ", 22.4 , 0.8 ," 161,139 "," 6,188 ", 26.7 , 1.0 ," 63,094 "," 4,337 ", 10.4 , 0.7 ," 125,883 "," 4,801 ", 20.8 , 0.8 ," 80,074 "," 4,392 ", 13.3 , 0.7 ," 565,456 "," 4,995 ", 93.6 , 0.6 ," 205,957 "," 5,723 ", 34.1 , 0.9 ,
80,CO,Colorado,6," 567,801 "," 9,080 "," 9,462 "," 1,973 ", 1.7 , 0.3 ," 22,659 "," 2,916 ", 4.0 , 0.5 ," 126,885 "," 6,187 ", 22.3 , 1.0 ," 123,362 "," 5,120 ", 21.7 , 0.8 ," 52,458 "," 4,048 ", 9.2 , 0.7 ," 150,079 "," 5,369 ", 26.4 , 0.9 ," 82,896 "," 4,306 ", 14.6 , 0.7 ," 535,680 "," 9,308 ", 94.3 , 0.6 ," 232,975 "," 6,445 ", 41.0 , 1.1 ,
81,CO,Colorado,7," 576,138 "," 8,222 "," 14,180 "," 2,203 ", 2.5 , 0.4 ," 39,124 "," 3,729 ", 6.8 , 0.6 ," 148,551 "," 6,997 ", 25.8 , 1.2 ," 132,222 "," 6,119 ", 22.9 , 1.0 ," 43,442 "," 2,948 ", 7.5 , 0.5 ," 129,777 "," 4,980 ", 22.5 , 0.8 ," 68,842 "," 4,308 ", 11.9 , 0.8 ," 522,834 "," 8,023 ", 90.7 , 0.7 ," 198,619 "," 5,864 ", 34.5 , 0.9 ,
82,CT,Connecticut,1," 523,004 "," 7,034 "," 14,315 "," 2,191 ", 2.7 , 0.4 ," 31,958 "," 3,228 ", 6.1 , 0.6 ," 148,797 "," 6,068 ", 28.5 , 1.1 ," 102,532 "," 4,970 ", 19.6 , 0.9 ," 43,400 "," 3,273 ", 8.3 , 0.6 ," 105,117 "," 4,734 ", 20.1 , 0.8 ," 76,885 "," 4,635 ", 14.7 , 0.9 ," 476,731 "," 6,982 ", 91.2 , 0.6 ," 182,002 "," 6,521 ", 34.8 , 1.1 ,
83,CT,Connecticut,2," 548,572 "," 5,593 "," 7,574 "," 1,485 ", 1.4 , 0.3 ," 27,150 "," 2,743 ", 4.9 , 0.5 ," 156,233 "," 5,797 ", 28.5 , 1.0 ," 129,221 "," 4,968 ", 23.6 , 0.8 ," 47,580 "," 3,564 ", 8.7 , 0.6 ," 106,314 "," 6,225 ", 19.4 , 1.1 ," 74,500 "," 4,178 ", 13.6 , 0.8 ," 513,848 "," 6,212 ", 93.7 , 0.6 ," 180,814 "," 6,779 ", 33.0 , 1.2 ,
84,CT,Connecticut,3," 535,024 "," 7,312 "," 14,528 "," 2,712 ", 2.7 , 0.5 ," 27,752 "," 3,087 ", 5.2 , 0.6 ," 167,980 "," 7,556 ", 31.4 , 1.4 ," 107,489 "," 5,629 ", 20.1 , 1.0 ," 38,650 "," 3,386 ", 7.2 , 0.6 ," 96,740 "," 5,237 ", 18.1 , 0.9 ," 81,885 "," 4,420 ", 15.3 , 0.8 ," 492,744 "," 7,251 ", 92.1 , 0.6 ," 178,625 "," 7,110 ", 33.4 , 1.2 ,
85,CT,Connecticut,4," 496,370 "," 6,476 "," 14,385 "," 2,062 ", 2.9 , 0.4 ," 22,152 "," 2,826 ", 4.5 , 0.6 ," 98,469 "," 5,189 ", 19.8 , 1.0 ," 84,003 "," 4,361 ", 16.9 , 0.8 ," 29,367 "," 2,667 ", 5.9 , 0.5 ," 140,769 "," 5,315 ", 28.4 , 1.0 ," 107,225 "," 4,796 ", 21.6 , 0.9 ," 459,833 "," 6,854 ", 92.6 , 0.7 ," 247,994 "," 6,339 ", 50.0 , 1.2 ,
86,CT,Connecticut,5," 511,395 "," 9,390 "," 15,558 "," 2,461 ", 3.0 , 0.5 ," 31,159 "," 3,490 ", 6.1 , 0.7 ," 143,865 "," 5,978 ", 28.1 , 1.1 ," 102,341 "," 5,585 ", 20.0 , 1.0 ," 40,031 "," 3,319 ", 7.8 , 0.6 ," 106,028 "," 5,481 ", 20.7 , 1.1 ," 72,413 "," 4,527 ", 14.2 , 0.9 ," 464,678 "," 8,370 ", 90.9 , 0.9 ," 178,441 "," 6,025 ", 34.9 , 1.3 ,
87,DE,Delaware,At-large," 720,867 "," 3,971 "," 16,821 "," 2,525 ", 2.3 , 0.3 ," 47,602 "," 4,095 ", 6.6 , 0.6 ," 244,349 "," 8,651 ", 33.9 , 1.2 ," 149,356 "," 6,794 ", 20.7 , 1.0 ," 54,332 "," 3,645 ", 7.5 , 0.5 ," 125,319 "," 5,648 ", 17.4 , 0.8 ," 83,088 "," 4,580 ", 11.5 , 0.6 ," 656,444 "," 5,756 ", 91.1 , 0.7 ," 208,407 "," 7,270 ", 28.9 , 1.0 ,
88,DC,District of Columbia,At-large," 526,393 "," 4,612 "," 11,472 "," 1,871 ", 2.2 , 0.4 ," 24,872 "," 2,936 ", 4.7 , 0.6 ," 99,438 "," 5,562 ", 18.9 , 1.0 ," 81,020 "," 5,679 ", 15.4 , 1.1 ," 13,643 "," 2,427 ", 2.6 , 0.5 ," 137,112 "," 5,794 ", 26.0 , 1.1 ," 158,836 "," 4,922 ", 30.2 , 0.9 ," 490,049 "," 5,079 ", 93.1 , 0.6 ," 295,948 "," 5,303 ", 56.2 , 0.8 ,
89,FL,Florida,1," 601,423 "," 2,752 "," 11,473 "," 2,096 ", 1.9 , 0.3 ," 41,396 "," 3,797 ", 6.9 , 0.6 ," 167,806 "," 8,269 ", 27.9 , 1.4 ," 157,209 "," 5,481 ", 26.1 , 0.9 ," 66,005 "," 5,263 ", 11.0 , 0.9 ," 102,192 "," 6,095 ", 17.0 , 1.0 ," 55,342 "," 4,139 ", 9.2 , 0.7 ," 548,554 "," 4,887 ", 91.2 , 0.7 ," 157,534 "," 7,396 ", 26.2 , 1.2 ,
90,FL,Florida,2," 573,718 "," 6,050 "," 19,297 "," 2,515 ", 3.4 , 0.4 ," 49,011 "," 5,196 ", 8.5 , 0.9 ," 200,868 "," 6,904 ", 35.0 , 1.2 ," 132,355 "," 5,900 ", 23.1 , 1.0 ," 51,171 "," 4,391 ", 8.9 , 0.8 ," 77,524 "," 4,343 ", 13.5 , 0.7 ," 43,492 "," 3,706 ", 7.6 , 0.6 ," 505,410 "," 7,356 ", 88.1 , 0.9 ," 121,016 "," 5,158 ", 21.1 , 0.8 ,
91,FL,Florida,3," 579,993 "," 6,726 "," 17,474 "," 2,511 ", 3.0 , 0.4 ," 44,257 "," 4,918 ", 7.6 , 0.8 ," 173,145 "," 7,084 ", 29.9 , 1.1 ," 136,650 "," 6,914 ", 23.6 , 1.2 ," 62,348 "," 5,057 ", 10.7 , 0.9 ," 93,558 "," 6,095 ", 16.1 , 1.0 ," 52,561 "," 4,512 ", 9.1 , 0.8 ," 518,262 "," 6,961 ", 89.4 , 0.9 ," 146,119 "," 7,236 ", 25.2 , 1.2 ,
92,FL,Florida,4," 614,794 "," 10,052 "," 9,782 "," 2,132 ", 1.6 , 0.3 ," 30,169 "," 3,964 ", 4.9 , 0.6 ," 146,569 "," 9,020 ", 23.8 , 1.4 ," 135,337 "," 7,289 ", 22.0 , 1.1 ," 61,260 "," 4,938 ", 10.0 , 0.8 ," 145,911 "," 6,981 ", 23.7 , 1.2 ," 85,766 "," 6,706 ", 14.0 , 1.1 ," 574,843 "," 9,856 ", 93.5 , 0.7 ," 231,677 "," 10,181 ", 37.7 , 1.6 ,
93,FL,Florida,5," 541,992 "," 11,225 "," 17,187 "," 2,530 ", 3.2 , 0.5 ," 60,577 "," 4,549 ", 11.2 , 0.9 ," 187,964 "," 8,004 ", 34.7 , 1.2 ," 130,734 "," 5,897 ", 24.1 , 0.9 ," 51,138 "," 4,103 ", 9.4 , 0.7 ," 64,654 "," 4,307 ", 11.9 , 0.8 ," 29,738 "," 2,650 ", 5.5 , 0.5 ," 464,228 "," 11,566 ", 85.7 , 0.9 ," 94,392 "," 5,416 ", 17.4 , 1.0 ,
94,FL,Florida,6," 621,566 "," 6,917 "," 15,372 "," 3,021 ", 2.5 , 0.5 ," 44,728 "," 3,700 ", 7.2 , 0.6 ," 193,189 "," 8,521 ", 31.1 , 1.4 ," 154,251 "," 7,564 ", 24.8 , 1.1 ," 71,867 "," 5,270 ", 11.6 , 0.8 ," 95,029 "," 5,473 ", 15.3 , 0.9 ," 47,130 "," 3,368 ", 7.6 , 0.5 ," 561,466 "," 8,100 ", 90.3 , 0.7 ," 142,159 "," 6,712 ", 22.9 , 1.0 ,
95,FL,Florida,7," 581,583 "," 10,621 "," 14,057 "," 2,821 ", 2.4 , 0.5 ," 28,613 "," 3,317 ", 4.9 , 0.6 ," 131,277 "," 7,090 ", 22.6 , 1.1 ," 132,231 "," 6,563 ", 22.7 , 1.0 ," 63,569 "," 4,785 ", 10.9 , 0.8 ," 137,499 "," 6,533 ", 23.6 , 1.1 ," 74,337 "," 4,987 ", 12.8 , 0.8 ," 538,913 "," 10,678 ", 92.7 , 0.7 ," 211,836 "," 8,084 ", 36.4 , 1.3 ,
96,FL,Florida,8," 610,604 "," 4,145 "," 11,745 "," 2,741 ", 1.9 , 0.4 ," 42,814 "," 4,943 ", 7.0 , 0.8 ," 175,186 "," 7,960 ", 28.7 , 1.3 ," 135,964 "," 6,575 ", 22.3 , 1.1 ," 69,417 "," 4,780 ", 11.4 , 0.8 ," 110,923 "," 5,790 ", 18.2 , 0.9 ," 64,555 "," 4,962 ", 10.6 , 0.8 ," 556,045 "," 5,996 ", 91.1 , 0.8 ," 175,478 "," 7,079 ", 28.7 , 1.1 ,
