Line #,State abbreviation,State name,Congressional district,"Votes cast for congressional representative for the November 6, 2018 election1", Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , Voting Rate Estimate , Voting Rate Margin of error (MOE) ,,,,,,,,,,
249,NJ,New Jersey,6," 221,195 "," 502,463 "," 7,651 ", 44.0 , 0.7 ,,,,,,,,,,
250,NJ,New Jersey,7," 322,742 "," 527,076 "," 9,094 ", 61.2 , 1.1 ,,,,,,,,,,
251,NJ,New Jersey,8," 153,455 "," 425,604 "," 11,139 ", 36.1 , 0.9 ,,,,,,,,,,
252,NJ,New Jersey,9," 200,416 "," 481,499 "," 11,594 ", 41.6 , 1.0 ,,,,,,,,,,
253,NJ,New Jersey,10," 200,159 "," 496,051 "," 9,959 ", 40.4 , 0.8 ,,,,,,,,,,
254,NJ,New Jersey,11," 323,574 "," 548,734 "," 8,988 ", 59.0 , 1.0 ,,,,,,,,,,
255,NJ,New Jersey,12," 252,375 "," 505,683 "," 9,993 ", 49.9 , 1.0 ,,,,,,,,,,
256,NM,New Mexico,1," 249,162 "," 514,775 "," 6,996 ", 48.4 , 0.7 ,,,,,,,,,,
257,NM,New Mexico,2," 199,256 "," 484,702 "," 6,155 ", 41.1 , 0.5 ,,,,,,,,,,
258,NM,New Mexico,3," 244,893 "," 507,907 "," 5,741 ", 48.2 , 0.5 ,,,,,,,,,,
259,NY,New York,1," 274,427 "," 530,436 "," 8,854 ", 51.7 , 0.9 ,,,,,,,,,,
260,NY,New York,2," 245,926 "," 515,987 "," 10,089 ", 47.7 , 0.9 ,,,,,,,,,,
261,NY,New York,3," 273,130 "," 521,235 "," 9,204 ", 52.4 , 0.9 ,,,,,,,,,,
262,NY,New York,4," 267,191 "," 506,457 "," 8,321 ", 52.8 , 0.9 ,,,,,,,,,,
263,NY,New York,5," 186,325 "," 501,784 "," 12,659 ", 37.1 , 0.9 ,,,,,,,,,,
264,NY,New York,6," 149,540 "," 448,065 "," 12,825 ", 33.4 , 1.0 ,,,,,,,,,,
265,NY,New York,7," 164,835 "," 446,196 "," 14,230 ", 36.9 , 1.2 ,,,,,,,,,,
266,NY,New York,8," 204,768 "," 540,660 "," 13,211 ", 37.9 , 0.9 ,,,,,,,,,,
267,NY,New York,9," 207,844 "," 486,880 "," 12,651 ", 42.7 , 1.1 ,,,,,,,,,,
268,NY,New York,10," 216,272 "," 473,542 "," 10,788 ", 45.7 , 1.0 ,,,,,,,,,,
269,NY,New York,11," 195,100 "," 500,998 "," 8,100 ", 38.9 , 0.6 ,,,,,,,,,,
270,NY,New York,12," 256,239 "," 530,252 "," 14,243 ", 48.3 , 1.3 ,,,,,,,,,,
271,NY,New York,13," 197,200 "," 505,003 "," 13,783 ", 39.0 , 1.1 ,,,,,,,,,,
272,NY,New York,14," 146,272 "," 392,398 "," 12,236 ", 37.3 , 1.2 ,,,,,,,,,,
273,NY,New York,15," 133,913 "," 410,819 "," 11,144 ", 32.6 , 0.9 ,,,,,,,,,,
274,NY,New York,16," 226,338 "," 498,243 "," 10,607 ", 45.4 , 1.0 ,,,,,,,,,,
275,NY,New York,17," 257,221 "," 502,861 "," 6,893 ", 51.2 , 0.7 ,,,,,,,,,,
276,NY,New York,18," 261,321 "," 524,373 "," 5,240 ", 49.8 , 0.5 ,,,,,,,,,,
277,NY,New York,19," 293,570 "," 553,713 "," 5,607 ", 53.0 , 0.5 ,,,,,,,,,,
278,NY,New York,20," 277,066 "," 557,251 "," 5,438 ", 49.7 , 0.5 ,,,,,,,,,,
279,NY,New York,21," 239,125 "," 551,303 "," 4,192 ", 43.4 , 0.3 ,,,,,,,,,,
280,NY,New York,22," 255,100 "," 539,437 "," 3,753 ", 47.3 , 0.3 ,,,,,,,,,,
281,NY,New York,23," 245,899 "," 544,564 "," 3,340 ", 45.2 , 0.3 ,,,,,,,,,,
282,NY,New York,24," 265,156 "," 539,797 "," 2,939 ", 49.1 , 0.3 ,,,,,,,,,,
283,NY,New York,25," 275,641 "," 543,698 "," 4,648 ", 50.7 , 0.4 ,,,,,,,,,,
284,NY,New York,26," 242,371 "," 539,694 "," 5,187 ", 44.9 , 0.4 ,,,,,,,,,,
285,NY,New York,27," 293,095 "," 564,383 "," 5,939 ", 51.9 , 0.5 ,,,,,,,,,,
286,NC,North Carolina,1," 272,675 "," 566,173 "," 6,735 ", 48.2 , 0.6 ,,,,,,,,,,
287,NC,North Carolina,2," 331,704 "," 601,142 "," 7,863 ", 55.2 , 0.7 ,,,,,,,,,,
288,NC,North Carolina,3," 187,901 "," 579,504 "," 4,996 ", 32.4 , 0.3 ,,,,,,,,,,
289,NC,North Carolina,4," 341,403 "," 624,834 "," 7,413 ", 54.6 , 0.6 ,,,,,,,,,,
290,NC,North Carolina,5," 280,385 "," 572,721 "," 3,131 ", 49.0 , 0.3 ,,,,,,,,,,
291,NC,North Carolina,6," 284,360 "," 567,392 "," 5,676 ", 50.1 , 0.5 ,,,,,,,,,,
292,NC,North Carolina,7," 282,312 "," 613,510 "," 5,769 ", 46.0 , 0.4 ,,,,,,,,,,
293,NC,North Carolina,8," 255,521 "," 581,896 "," 5,618 ", 43.9 , 0.4 ,,,,,,,,,,
294,NC,North Carolina,9, -   ," 561,804 "," 6,951 ", -   , -   ,,,,,,,,,,
295,NC,North Carolina,10," 278,228 "," 585,102 "," 4,892 ", 47.6 , 0.4 ,,,,,,,,,,
296,NC,North Carolina,11," 300,666 "," 604,505 "," 5,083 ", 49.7 , 0.4 ,,,,,,,,,,
297,NC,North Carolina,12," 279,138 "," 591,843 "," 7,234 ", 47.2 , 0.6 ,,,,,,,,,,
298,NC,North Carolina,13," 286,316 "," 579,274 "," 7,005 ", 49.4 , 0.6 ,,,,,,,,,,
299,ND,North Dakota,At-large," 321,532 "," 567,351 "," 3,196 ", 56.7 , 0.3 ,,,,,,,,,,
300,OH,Ohio,1," 300,871 "," 541,695 "," 5,990 ", 55.5 , 0.6 ,,,,,,,,,,
301,OH,Ohio,2," 289,661 "," 557,971 "," 6,728 ", 51.9 , 0.6 ,,,,,,,,,,
302,OH,Ohio,3," 246,677 "," 560,963 "," 8,952 ", 44.0 , 0.7 ,,,,,,,,,,
303,OH,Ohio,4," 257,405 "," 542,874 "," 4,816 ", 47.4 , 0.4 ,,,,,,,,,,
304,OH,Ohio,5," 283,617 "," 549,171 "," 4,850 ", 51.6 , 0.5 ,,,,,,,,,,
305,OH,Ohio,6," 249,490 "," 545,803 "," 4,800 ", 45.7 , 0.4 ,,,,,,,,,,
306,OH,Ohio,7," 260,653 "," 557,024 "," 7,057 ", 46.8 , 0.6 ,,,,,,,,,,
307,OH,Ohio,8," 261,133 "," 546,406 "," 2,927 ", 47.8 , 0.3 ,,,,,,,,,,
308,OH,Ohio,9," 231,937 "," 545,749 "," 8,394 ", 42.5 , 0.7 ,,,,,,,,,,
309,OH,Ohio,10," 281,726 "," 552,514 "," 2,402 ", 51.0 , 0.2 ,,,,,,,,,,
310,OH,Ohio,11," 250,660 "," 524,803 "," 8,831 ", 47.8 , 0.8 ,,,,,,,,,,
311,OH,Ohio,12," 341,647 "," 585,940 "," 7,173 ", 58.3 , 0.7 ,,,,,,,,,,
312,OH,Ohio,13," 251,370 "," 559,931 "," 7,719 ", 44.9 , 0.6 ,,,,,,,,,,
313,OH,Ohio,14," 307,358 "," 553,668 "," 6,479 ", 55.5 , 0.6 ,,,,,,,,,,
314,OH,Ohio,15," 292,443 "," 586,092 "," 6,358 ", 49.9 , 0.5 ,,,,,,,,,,
315,OH,Ohio,16," 299,710 "," 553,316 "," 8,332 ", 54.2 , 0.8 ,,,,,,,,,,
316,OK,Oklahoma,1," 253,171 "," 565,812 "," 2,986 ", 44.7 , 0.2 ,,,,,,,,,,
317,OK,Oklahoma,2," 216,002 "," 564,213 "," 2,174 ", 38.3 , 0.1 ,,,,,,,,,,
318,OK,Oklahoma,3," 234,065 "," 571,661 "," 2,631 ", 40.9 , 0.2 ,,,,,,,,,,
319,OK,Oklahoma,4," 236,638 "," 589,702 "," 4,619 ", 40.1 , 0.3 ,,,,,,,,,,
320,OK,Oklahoma,5," 238,960 "," 561,277 "," 5,517 ", 42.6 , 0.4 ,,,,,,,,,,
321,OR,Oregon,1," 363,249 "," 606,198 "," 6,201 ", 59.9 , 0.6 ,,,,,,,,,,
322,OR,Oregon,2," 368,709 "," 619,186 "," 4,754 ", 59.5 , 0.5 ,,,,,,,,,,
323,OR,Oregon,3," 384,326 "," 627,716 "," 5,932 ", 61.2 , 0.6 ,,,,,,,,,,
324,OR,Oregon,4," 372,893 "," 638,548 "," 5,000 ", 58.4 , 0.5 ,,,,,,,,,,
325,OR,Oregon,5," 358,469 "," 606,523 "," 6,245 ", 59.1 , 0.6 ,,,,,,,,,,
326,PA,Pennsylvania,1," 329,798 "," 544,860 "," 4,939 ", 60.5 , 0.5 ,,,,,,,,,,
327,PA,Pennsylvania,2," 201,982 "," 496,510 "," 12,153 ", 40.7 , 1.0 ,,,,,,,,,,
328,PA,Pennsylvania,3," 307,997 "," 564,612 "," 11,678 ", 54.6 , 1.1 ,,,,,,,,,,
329,PA,Pennsylvania,4," 332,991 "," 543,723 "," 4,822 ", 61.2 , 0.5 ,,,,,,,,,,
330,PA,Pennsylvania,5," 304,714 "," 519,983 "," 6,115 ", 58.6 , 0.7 ,,,,,,,,,,
331,PA,Pennsylvania,6," 301,828 "," 522,912 "," 4,827 ", 57.7 , 0.5 ,,,,,,,,,,
332,PA,Pennsylvania,7," 263,261 "," 552,078 "," 4,662 ", 47.7 , 0.4 ,,,,,,,,,,
333,PA,Pennsylvania,8," 248,166 "," 535,133 "," 5,536 ", 46.4 , 0.5 ,,,,,,,,,,
334,PA,Pennsylvania,9," 248,927 "," 555,775 "," 5,005 ", 44.8 , 0.4 ,,,,,,,,,,
335,PA,Pennsylvania,10," 291,033 "," 552,761 "," 5,816 ", 52.7 , 0.6 ,,,,,,,,,,
336,PA,Pennsylvania,11," 277,584 "," 553,568 "," 5,995 ", 50.1 , 0.5 ,,,,,,,,,,
337,PA,Pennsylvania,12," 243,872 "," 551,022 "," 3,977 ", 44.3 , 0.3 ,,,,,,,,,,
338,PA,Pennsylvania,13," 253,266 "," 545,111 "," 3,919 ", 46.5 , 0.3 ,,,,,,,,,,
339,PA,Pennsylvania,14," 261,437 "," 551,164 "," 2,665 ", 47.4 , 0.2 ,,,,,,,,,,
340,PA,Pennsylvania,15," 243,572 "," 548,615 "," 4,573 ", 44.4 , 0.4 ,,,,,,,,,,
341,PA,Pennsylvania,16," 262,396 "," 539,710 "," 2,919 ", 48.6 , 0.3 ,,,,,,,,,,
342,PA,Pennsylvania,17," 325,579 "," 559,285 "," 6,462 ", 58.2 , 0.7 ,,,,,,,,,,
343,PA,Pennsylvania,18," 231,472 "," 544,390 "," 6,168 ", 42.5 , 0.5 ,,,,,,,,,,
344,RI,Rhode Island,1," 174,083 "," 395,409 "," 6,058 ", 44.0 , 0.7 ,,,,,,,,,,
345,RI,Rhode Island,2," 199,197 "," 407,668 "," 6,982 ", 48.9 , 0.8 ,,,,,,,,,,
346,SC,South Carolina,1," 287,433 "," 613,912 "," 6,942 ", 46.8 , 0.5 ,,,,,,,,,,
347,SC,South Carolina,2," 257,139 "," 537,342 "," 7,030 ", 47.9 , 0.6 ,,,,,,,,,,
348,SC,South Carolina,3," 226,204 "," 534,772 "," 4,868 ", 42.3 , 0.4 ,,,,,,,,,,
349,SC,South Carolina,4," 243,950 "," 533,533 "," 6,329 ", 45.7 , 0.5 ,,,,,,,,,,
350,SC,South Carolina,5," 248,579 "," 552,247 "," 4,381 ", 45.0 , 0.4 ,,,,,,,,,,
351,SC,South Carolina,6," 206,433 "," 506,843 "," 10,563 ", 40.7 , 0.8 ,,,,,,,,,,
352,SC,South Carolina,7," 239,554 "," 571,428 "," 3,454 ", 41.9 , 0.3 ,,,,,,,,,,
353,SD,South Dakota,At-large," 335,965 "," 647,089 "," 2,674 ", 51.9 , 0.2 ,,,,,,,,,,
354,TN,Tennessee,1," 224,282 "," 563,918 "," 3,157 ", 39.8 , 0.2 ,,,,,,,,,,
355,TN,Tennessee,2," 262,134 "," 583,056 "," 3,129 ", 45.0 , 0.2 ,,,,,,,,,,
356,TN,Tennessee,3," 245,765 "," 571,456 "," 3,926 ", 43.0 , 0.3 ,,,,,,,,,,
357,TN,Tennessee,4," 232,451 "," 590,540 "," 4,743 ", 39.4 , 0.3 ,,,,,,,,,,
358,TN,Tennessee,5," 262,248 "," 563,797 "," 5,435 ", 46.5 , 0.4 ,,,,,,,,,,
359,TN,Tennessee,6," 248,740 "," 591,603 "," 3,690 ", 42.0 , 0.3 ,,,,,,,,,,
360,TN,Tennessee,7," 254,384 "," 578,288 "," 3,700 ", 44.0 , 0.3 ,,,,,,,,,,
361,TN,Tennessee,8," 248,345 "," 525,277 "," 4,889 ", 47.3 , 0.4 ,,,,,,,,,,
362,TN,Tennessee,9," 181,476 "," 507,231 "," 5,835 ", 35.8 , 0.4 ,,,,,,,,,,
363,TX,Texas,1," 232,720 "," 511,974 "," 4,743 ", 45.5 , 0.4 ,,,,,,,,,,
364,TX,Texas,2," 263,392 "," 520,180 "," 17,389 ", 50.6 , 1.7 ,,,,,,,,,,
365,TX,Texas,3," 312,358 "," 563,318 "," 7,999 ", 55.4 , 0.8 ,,,,,,,,,,
366,TX,Texas,4," 249,245 "," 543,354 "," 5,315 ", 45.9 , 0.4 ,,,,,,,,,,
367,TX,Texas,5," 209,507 "," 480,610 "," 7,387 ", 43.6 , 0.7 ,,,,,,,,,,
368,TX,Texas,6," 256,042 "," 554,709 "," 11,109 ", 46.2 , 0.9 ,,,,,,,,,,
369,TX,Texas,7," 243,601 "," 448,262 "," 17,967 ", 54.3 , 2.2 ,,,,,,,,,,
370,TX,Texas,8," 273,170 "," 584,039 "," 8,995 ", 46.8 , 0.7 ,,,,,,,,,,
371,TX,Texas,9," 153,001 "," 445,634 "," 16,319 ", 34.3 , 1.3 ,,,,,,,,,,
372,TX,Texas,10," 307,827 "," 593,629 "," 15,051 ", 51.9 , 1.3 ,,,,,,,,,,
373,TX,Texas,11," 220,377 "," 542,570 "," 6,851 ", 40.6 , 0.5 ,,,,,,,,,,
374,TX,Texas,12," 268,491 "," 572,411 "," 11,504 ", 46.9 , 0.9 ,,,,,,,,,,
375,TX,Texas,13," 207,285 "," 493,390 "," 5,774 ", 42.0 , 0.5 ,,,,,,,,,,
376,TX,Texas,14," 234,528 "," 532,153 "," 6,811 ", 44.1 , 0.6 ,,,,,,,,,,
377,TX,Texas,15," 164,802 "," 435,170 "," 10,959 ", 37.9 , 1.0 ,,,,,,,,,,
378,TX,Texas,16," 181,754 "," 458,940 "," 7,531 ", 39.6 , 0.6 ,,,,,,,,,,
379,TX,Texas,17," 237,351 "," 550,601 "," 9,229 ", 43.1 , 0.7 ,,,,,,,,,,
380,TX,Texas,18," 184,332 "," 480,387 "," 17,751 ", 38.4 , 1.4 ,,,,,,,,,,
381,TX,Texas,19," 201,985 "," 509,891 "," 4,649 ", 39.6 , 0.4 ,,,,,,,,,,
382,TX,Texas,20," 171,963 "," 549,483 "," 15,793 ", 31.3 , 0.9 ,,,,,,,,,,
383,TX,Texas,21," 353,617 "," 622,228 "," 13,955 ", 56.8 , 1.3 ,,,,,,,,,,
384,TX,Texas,22," 297,405 "," 577,164 "," 14,484 ", 51.5 , 1.3 ,,,,,,,,,,
385,TX,Texas,23," 210,069 "," 507,547 "," 12,255 ", 41.4 , 1.0 ,,,,,,,,,,
386,TX,Texas,24," 263,418 "," 503,766 "," 10,913 ", 52.3 , 1.1 ,,,,,,,,,,
387,TX,Texas,25," 304,553 "," 570,238 "," 11,587 ", 53.4 , 1.1 ,,,,,,,,,,
388,TX,Texas,26," 312,505 "," 605,249 "," 8,073 ", 51.6 , 0.7 ,,,,,,,,,,
389,TX,Texas,27," 207,421 "," 517,267 "," 6,497 ", 40.1 , 0.5 ,,,,,,,,,,
390,TX,Texas,28," 139,226 "," 434,305 "," 11,134 ", 32.1 , 0.8 ,,,,,,,,,,
391,TX,Texas,29," 117,494 "," 369,239 "," 12,870 ", 31.8 , 1.1 ,,,,,,,,,,
392,TX,Texas,30," 183,174 "," 479,082 "," 11,936 ", 38.2 , 1.0 ,,,,,,,,,,
393,TX,Texas,31," 286,007 "," 602,236 "," 5,813 ", 47.5 , 0.5 ,,,,,,,,,,
394,TX,Texas,32," 275,620 "," 505,867 "," 10,389 ", 54.5 , 1.1 ,,,,,,,,,,
395,TX,Texas,33," 119,224 "," 360,226 "," 12,748 ", 33.1 , 1.2 ,,,,,,,,,,
396,TX,Texas,34," 143,068 "," 424,863 "," 9,876 ", 33.7 , 0.8 ,,,,,,,,,,
397,TX,Texas,35," 194,067 "," 532,967 "," 13,421 ", 36.4 , 0.9 ,,,,,,,,,,
398,TX,Texas,36," 221,956 "," 519,385 "," 9,934 ", 42.7 , 0.8 ,,,,,,,,,,
399,UT,Utah,1," 254,333 "," 521,517 "," 4,200 ", 48.8 , 0.4 ,,,,,,,,,,
400,UT,Utah,2," 270,044 "," 529,608 "," 7,295 ", 51.0 , 0.7 ,,,,,,,,,,
401,UT,Utah,3," 258,858 "," 517,848 "," 6,002 ", 50.0 , 0.6 ,,,,,,,,,,
402,UT,Utah,4," 269,271 "," 518,368 "," 8,401 ", 51.9 , 0.8 ,,,,,,,,,,
403,VT,Vermont,At-large," 278,230 "," 500,274 "," 2,062 ", 55.6 , 0.2 ,,,,,,,,,,
404,VA,Virginia,1," 332,101 "," 590,281 "," 8,602 ", 56.3 , 0.8 ,,,,,,,,,,
405,VA,Virginia,2," 273,400 "," 559,397 "," 6,204 ", 48.9 , 0.5 ,,,,,,,,,,
406,VA,Virginia,3," 217,722 "," 559,137 "," 7,090 ", 38.9 , 0.5 ,,,,,,,,,,
407,VA,Virginia,4," 299,854 "," 579,606 "," 9,665 ", 51.7 , 0.9 ,,,,,,,,,,
408,VA,Virginia,5," 310,926 "," 578,531 "," 7,084 ", 53.7 , 0.7 ,,,,,,,,,,
409,VA,Virginia,6," 281,377 "," 582,756 "," 4,662 ", 48.3 , 0.4 ,,,,,,,,,,
410,VA,Virginia,7," 349,803 "," 588,061 "," 8,567 ", 59.5 , 0.9 ,,,,,,,,,,
411,VA,Virginia,8," 324,748 "," 533,417 "," 10,149 ", 60.9 , 1.2 ,,,,,,,,,,
412,VA,Virginia,9," 246,980 "," 567,315 "," 4,437 ", 43.5 , 0.3 ,,,,,,,,,,
413,VA,Virginia,10," 367,795 "," 565,197 "," 8,256 ", 65.1 , 1.0 ,,,,,,,,,,
414,VA,Virginia,11," 308,250 "," 509,988 "," 10,817 ", 60.4 , 1.3 ,,,,,,,,,,
415,WA,Washington,1," 332,743 "," 519,555 "," 10,068 ", 64.0 , 1.2 ,,,,,,,,,,
416,WA,Washington,2," 294,833 "," 558,321 "," 7,945 ", 52.8 , 0.8 ,,,,,,,,,,
417,WA,Washington,3," 307,226 "," 544,994 "," 4,118 ", 56.4 , 0.4 ,,,,,,,,,,
418,WA,Washington,4," 225,336 "," 443,137 "," 5,909 ", 50.9 , 0.7 ,,,,,,,,,,
419,WA,Washington,5," 320,347 "," 551,532 "," 3,876 ", 58.1 , 0.4 ,,,,,,,,,,
420,WA,Washington,6," 323,086 "," 570,991 "," 6,932 ", 56.6 , 0.7 ,,,,,,,,,,
421,WA,Washington,7," 394,681 "," 600,321 "," 11,081 ", 65.7 , 1.2 ,,,,,,,,,,
422,WA,Washington,8," 313,057 "," 522,952 "," 10,928 ", 59.9 , 1.3 ,,,,,,,,,,
423,WA,Washington,9," 240,567 "," 499,184 "," 11,809 ", 48.2 , 1.1 ,,,,,,,,,,
424,WA,Washington,10," 270,075 "," 544,552 "," 6,928 ", 49.6 , 0.6 ,,,,,,,,,,
425,WV,West Virginia,1," 198,214 "," 486,327 "," 3,632 ", 40.8 , 0.3 ,,,,,,,,,,
426,WV,West Virginia,2," 204,792 "," 487,208 "," 3,478 ", 42.0 , 0.3 ,,,,,,,,,,
427,WV,West Virginia,3," 174,985 "," 457,623 "," 2,050 ", 38.2 , 0.2 ,,,,,,,,,,
428,WI,Wisconsin,1," 325,317 "," 539,789 "," 5,165 ", 60.3 , 0.6 ,,,,,,,,,,
429,WI,Wisconsin,2," 317,295 "," 577,976 "," 3,636 ", 54.9 , 0.3 ,,,,,,,,,,
430,WI,Wisconsin,3," 314,989 "," 566,700 "," 2,657 ", 55.6 , 0.3 ,,,,,,,,,,
431,WI,Wisconsin,4," 273,087 "," 493,143 "," 4,985 ", 55.4 , 0.6 ,,,,,,,,,,
432,WI,Wisconsin,5," 364,288 "," 558,805 "," 5,239 ", 65.2 , 0.6 ,,,,,,,,,,
433,WI,Wisconsin,6," 325,065 "," 556,485 "," 2,532 ", 58.4 , 0.3 ,,,,,,,,,,
434,WI,Wisconsin,7," 322,840 "," 552,651 "," 2,556 ", 58.4 , 0.3 ,,,,,,,,,,
435,WI,Wisconsin,8," 328,774 "," 556,205 "," 2,262 ", 59.1 , 0.2 ,,,,,,,,,,
436,WY,Wyoming,At-large," 205,275 "," 433,644 "," 2,221 ", 47.3 , 0.2 ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,
"- Congressional districts 10, 14, 21, and 24 in Florida and district 9 in North Carolina did not report vote totals. In Florida, state law prohibits candidates without an opponent from having their name printed on the ballot.  In North Carolina, the state’s Board of Elections ordered a new election in February of 2019.",,,,,,,,,,,,,,,,,,
1 Votes as collected by state election offices and reported nationally by the Office of the Clerk of the U.S. House of Representatives.,,,,,,,,,,,,,,,,,,
"2 Citizen voting-age population from the 2018 American Community Survey, Table S2901.",,,,,,,,,,,,,,,,,,
3 Voting rates calculated by dividing the number votes cast for representative by the citizen voting-age population for each congresssional district.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, 2018 American Community Survey Table S2901 , and the Office of the Clerk U.S. House of Representatives ""Statistics of the Congressional Election Noveber 6, 2018""  <clerk.house.gov>.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Internet release date: February 26, 2020",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
